ID,Character Name,Refresh,Auto Next,Dialogue,BG,BGM,SFX,CGData,CGBehavior,Filter,FilterBehavior
0,null,TRUE,TRUE,null,null,null,null,null,null,null,null
1,OS,TRUE,TRUE,null,null,SFX_Stage_Heartbeats,null,null,null,Filter_White,on
2,OS,TRUE,TRUE,null,null,null,SFX_Stage_Tinnitus_02,null,null,null,off
3,OS,TRUE,TRUE,null,BG_Stage_Black,null,null,null,null,null,null
4,OS,TRUE,TRUE,null,null,null,null,null,null,null,null
5,null,TRUE,TRUE,null,null,null,null,null,null,null,null
6,OS,TRUE,TRUE,null,null,null,null,null,null,null,null
7,null,TRUE,TRUE,null,null,null,null,null,null,null,null
8,羽黑影,TRUE,FALSE,是我兒子就給我乖一點！,null,null,null,null,null,null,null
9,拓,TRUE,FALSE,不要…,null,null,null,null,null,null,null
10,null,TRUE,FALSE,給我乖乖躺好！,null,null,null,null,null,null,null
11,拓,TRUE,FALSE,不要……,null,null,null,null,null,null,null
12,拓,TRUE,FALSE,不對……,null,null,null,null,null,null,null
13,null,TRUE,TRUE,null,null,null,null,null,null,null,null
14,OS,TRUE,FALSE,才、,null,null,null,null,null,null,null
15,null,TRUE,FALSE,才不是那樣──！,BG_Stage_Red,null,null,null,null,Filter_BlackFadeDown,on
16,棕獅、黃獅,TRUE,FALSE,等、等等…,null,null,null,null,null,null,null
17,null,TRUE,TRUE,null,null,null,SFX_Stage_Punch_1,null,null,null,null
18,null,TRUE,TRUE,null,null,null,SFX_Stage_Fall,null,null,null,null
19,黑獅,TRUE,FALSE,別、別對不起──,null,null,null,null,null,null,null
20,null,TRUE,TRUE,null,null,null,SFX_Stage_Punch_1,null,null,null,null
21,null,TRUE,TRUE,null,null,null,SFX_Stage_Fall,null,null,null,null
22,OS,TRUE,TRUE,null,null,BGM_Stage_Rain,null,null,null,null,null
23,OS,TRUE,TRUE,null,BG_Stage_Alley,null,null,null,null,null,off
24,拓,TRUE,FALSE,吁…吁…吁……涅……,null,null,null,null,null,null,null
25,OS,FALSE,FALSE,拓回過神來，才注意到自己已經把幾個學生揍得昏了過去，而涅則癱倒在一旁。,null,null,null,null,null,null,null
26,OS,FALSE,FALSE,<br>慌張的拓連忙試著把涅抱起來，而涅則任由拓將自己抱起。,null,null,null,null,null,null,null
27,拓,TRUE,FALSE,沒事了…我們回去吧，涅……,null,null,null,null,null,null,null
28,OS,TRUE,FALSE,涅身上的制服近乎全毀了，我決定先帶涅回家再說。,null,null,null,null,null,null,null
29,OS,FALSE,FALSE,<br>看著過度驚嚇的涅，我只能盡我所能地輕輕抱起他…,null,null,null,null,null,null,null
30,OS,FALSE,FALSE,<br>看著涅的眼神，我有點不知道該怎麼辦才好…,null,null,null,null,null,null,null
31,OS,TRUE,FALSE,那是……,null,null,null,null,null,null,null
32,OS,FALSE,FALSE,跟過去的我幾乎一樣的眼神啊……,null,null,null,null,null,null,null
33,null,TRUE,TRUE,null,null,null,null,null,null,null,null
