ID,Character Name,Refresh,Auto Next,Dialogue,BG,BGM,SFX,CGData,CGBehavior,Filter,FilterBehavior
0,OS,TRUE,FALSE,我看向正在被獅子架到牆角的涅。涅的制服已經被他們撕破了，露出他稚嫩的身體。,null,null,null,null,null,null,null
1,OS,FALSE,FALSE,<br>涅的身體…那稚嫩的身體……,null,null,null,null,null,null,null
2,OS,FALSE,FALSE,<br>我慢慢地把拳頭放下。,null,null,null,null,null,null,null
3,黑獅,TRUE,FALSE,這就對了，大叔，一起來玩吧。,null,null,null,null,null,null,null
4,拓,TRUE,FALSE,一起玩……,null,null,null,null,null,null,null
5,OS,TRUE,FALSE,我看著眼角泛著淚光的涅。那黝黑的毛髮看起來好漂亮，還有那雪白的吻部，真是…誘人……,null,null,null,null,null,null,null
6,黑獅,TRUE,FALSE,一起來玩吧，大叔。,null,null,null,null,null,null,null
7,OS,TRUE,FALSE,那個少年用眼神示意，要他的同夥把涅帶到我面前。,null,null,null,null,null,null,null
8,拓,TRUE,FALSE,涅……,null,null,null,null,null,null,null
9,黑獅,TRUE,FALSE,沒錯，你一定也很想上他吧？,null,null,null,null,null,null,null
10,拓,TRUE,FALSE,涅……,null,null,null,null,null,null,null
11,OS,TRUE,FALSE,我忍不住了……,null,null,null,null,null,null,null
12,OS,FALSE,FALSE,<br>我伸手拉開褲頭的拉鍊，一邊靠向涅。,null,null,null,null,null,null,null
13,涅,TRUE,FALSE,拓……,null,null,null,null,null,null,null
14,OS,TRUE,FALSE,啊，涅在請求我……那聲音也好誘人……,null,null,null,null,null,null,null
15,OS,FALSE,FALSE,<br>我伸出舌頭，舔著涅那雪白的肚子，我能聞到那帶點乳香的氣味，好棒啊……,null,null,null,null,null,null,null
16,棕獅,TRUE,FALSE,哇……老大，這不得了啊。,null,null,null,null,null,null,null
17,黃獅,TRUE,FALSE,對、對啊，這大叔…真的直接在這裡幹起來了耶……,null,null,null,null,null,null,null
18,OS,TRUE,FALSE,雖然隱約好像聽見那三個少年在說甚麼但我管不了這麼多了。,null,null,null,null,null,null,null
19,拓,TRUE,FALSE,涅是…我的……,null,null,null,null,null,null,null
20,OS,TRUE,FALSE,我在那三個不良少年面前，侵犯了涅。,null,null,null,null,null,null,null
21,OS,FALSE,FALSE,就像當年我的父親染指了我那樣。,null,null,null,null,null,null,null
22,OS,FALSE,FALSE,原來這就是當年父親侵犯我時的感覺嗎？,null,null,null,null,null,null,null
23,OS,TRUE,FALSE,真是、真是──,null,null,null,null,null,null,null
24,OS,FALSE,FALSE,真是太棒了。,null,null,null,null,null,null,null
