ID,Character Name,Refresh,Auto Next,Dialogue,BG,BGM,SFX,CGData,CGBehavior,Filter,FilterBehavior
0,拓,TRUE,FALSE,你應該肚子餓了吧？我來做晚餐吧。,null,null,null,null,null,null,null
1,涅,TRUE,FALSE,我、我也想幫忙……,null,null,null,null,null,null,null
2,拓,TRUE,FALSE,好啊。,null,null,null,null,null,null,null
3,null,TRUE,TRUE,null,BG_Stage_Kitchen,null,null,null,null,null,null
4,拓,TRUE,FALSE,我們今天晚上除了吃麵，我也會準備一道很特別的料理喔。,null,null,null,null,null,null,null
5,拓,FALSE,FALSE,我要煮南瓜粥給你吃喔。,null,null,null,null,null,null,null
6,涅,TRUE,FALSE,南瓜……粥？,null,null,null,null,null,null,null
7,拓,TRUE,FALSE,是啊。,null,null,null,null,null,null,null
8,拓,FALSE,FALSE,剛剛提到有人曾經救過我。,null,null,null,null,null,null,null
9,拓,FALSE,FALSE,那時候…我還很虛弱的時候，他煮了這鍋南瓜粥給我吃，對我是一道很有回憶的料理呢。,null,null,null,null,null,null,null
10,拓,FALSE,FALSE,所以我也希望能讓你吃吃看南瓜粥。,null,null,null,null,null,null,null
11,OS,TRUE,FALSE,在涅的幫忙下，拓順利地把晚餐端上桌。當兩人終於開動時，外頭的月亮已經悄悄升起了。,null,null,null,null,null,null,null
12,OS,TRUE,FALSE,這邊我想拉遠景，停個30秒，然後放音樂、做菜的聲音,null,null,null,null,null,null,null
13,OS,TRUE,FALSE,雖然兩人吃飯時依舊是安安靜靜地，但氣氛跟不久前相比已經緩和許多。,null,null,null,null,null,null,null
14,拓,TRUE,FALSE,好吃嗎？,null,null,null,null,null,null,null
15,涅,TRUE,FALSE,好吃。我喜歡南瓜粥，謝謝拓。,null,null,null,null,null,null,null
16,拓,TRUE,FALSE,太好了呢。,null,null,null,null,null,null,null
17,拓,TRUE,FALSE,吃飽後碗筷放著就好，涅就先去洗澡吧。,null,null,null,null,null,null,null
18,涅,TRUE,FALSE,好──,null,null,null,null,null,null,null
19,null,TRUE,TRUE,null,BG_Stage_Black,null,BGM_Mute,null,null,null,null
20,OS,TRUE,FALSE,那天晚上，拓第一次陪涅睡覺。,null,null,null,null,null,null,null
21,null,TRUE,TRUE,null,BGM_Sleep_1,null,null,null,null,null,null
22,null,TRUE,TRUE,null,null,null,null,???,on,null,null
23,OS,TRUE,FALSE,老虎與狐狸的臉上都掛著淺淺的笑，,null,null,null,null,null,null,null
24,OS,TRUE,FALSE,不只是因為安心，狐狸也為了能找到如此重視自己的朋友感到幸福。,null,null,null,null,null,null,null
25,OS,TRUE,FALSE,而老虎則是偶爾醒來，憐愛地看向抱著自己睡去的孩子。,null,null,null,null,null,null,null
26,OS,TRUE,FALSE,而老虎沒有察覺的是，當他靜靜看著熟睡的狐狸時，內心起了一股隱隱的悸動……,null,null,null,null,null,null,null
27,OS,TRUE,FALSE,但尚未多想，老虎也疲倦地闔上眼睛，和狐狸相擁入睡。,null,null,null,null,null,null,null
